# wavelength 	 flux_density
8.102949999999999591e+02 1.026500000000000000e+16
8.104980000000000473e+02 1.034840000000000000e+16
8.106999999999999318e+02 1.028100000000000000e+16
8.109030000000000200e+02 1.023250000000000200e+16
8.111050000000000182e+02 1.024410000000000200e+16
8.113079999999999927e+02 1.028970000000000000e+16
8.115099999999999909e+02 1.030340000000000000e+16
8.117129999999999654e+02 1.018190000000000000e+16
8.119150000000000773e+02 1.016310000000000000e+16
8.121180000000000518e+02 1.026540000000000000e+16
8.123200000000000500e+02 1.035890000000000200e+16
8.125230000000000246e+02 1.048190000000000000e+16
8.127250000000000227e+02 1.033890000000000000e+16
8.129269999999999072e+02 1.023880000000000000e+16
8.131299999999999955e+02 1.029400000000000000e+16
8.133320000000001073e+02 1.031290000000000000e+16
8.133519999999999754e+02 1.030060000000000200e+16
8.135850000000000364e+02 1.030030000000000200e+16
8.138180000000000973e+02 1.034850000000000000e+16
8.140509999999999309e+02 1.029310000000000000e+16
8.142839999999999918e+02 1.025470000000000000e+16
8.145170000000000528e+02 1.023780000000000000e+16
8.147500000000000000e+02 1.026860000000000000e+16
8.149819999999999709e+02 1.026760000000000200e+16
8.152150000000000318e+02 1.019240000000000000e+16
8.154479999999999791e+02 1.027600000000000000e+16
8.156810000000000400e+02 1.028610000000000000e+16
8.159139999999999873e+02 1.036210000000000000e+16
8.161460000000000719e+02 1.042000000000000000e+16
8.163790000000000191e+02 1.017570000000000200e+16
8.166119999999999663e+02 1.022210000000000200e+16
8.168450000000000273e+02 1.032320000000000200e+16
8.170779999999999745e+02 1.026290000000000000e+16
8.173110000000000355e+02 1.028880000000000000e+16
8.175430000000000064e+02 1.028490000000000000e+16
8.177759999999999536e+02 1.026350000000000000e+16
8.180090000000000146e+02 1.028160000000000000e+16
8.182420000000000755e+02 1.016680000000000000e+16
8.184740000000000464e+02 9.853170000000000000e+15
8.187069999999999936e+02 9.795670000000000000e+15
8.189400000000000546e+02 9.955120000000000000e+15
8.191730000000000018e+02 1.016170000000000000e+16
8.194050000000000864e+02 1.024700000000000000e+16
8.196380000000000337e+02 9.702170000000000000e+15
8.198709999999999809e+02 9.623090000000000000e+15
8.201040000000000418e+02 9.927160000000000000e+15
8.203359999999998990e+02 1.002510000000000000e+16
8.205689999999999600e+02 1.008130000000000000e+16
8.208020000000000209e+02 1.011140000000000000e+16
8.210339999999999918e+02 1.000160000000000000e+16
8.212669999999999391e+02 1.003850000000000000e+16
8.215000000000000000e+02 9.919510000000002000e+15
8.217319999999999709e+02 9.917150000000000000e+15
8.219649999999999181e+02 1.013150000000000000e+16
8.221979999999999791e+02 9.877280000000000000e+15
8.224299999999999500e+02 9.815220000000000000e+15
8.226630000000000109e+02 1.019690000000000000e+16
8.228959999999999582e+02 1.031990000000000000e+16
8.231290000000000191e+02 1.027240000000000000e+16
8.233609999999999900e+02 1.011280000000000000e+16
8.235940000000000509e+02 1.014100000000000000e+16
8.238259999999999081e+02 1.016730000000000000e+16
8.240589999999999691e+02 1.013280000000000000e+16
8.242920000000000300e+02 1.020510000000000000e+16
8.245240000000000009e+02 1.022920000000000000e+16
8.247569999999999482e+02 1.023150000000000000e+16
8.249900000000000091e+02 1.012770000000000000e+16
8.252219999999999800e+02 1.007640000000000000e+16
8.254550000000000409e+02 1.016790000000000000e+16
8.256869999999998981e+02 1.016380000000000200e+16
8.259199999999999591e+02 1.011830000000000200e+16
8.261530000000000200e+02 1.023050000000000000e+16
8.263849999999999909e+02 1.035350000000000000e+16
8.266179999999999382e+02 1.026370000000000000e+16
8.268500000000000227e+02 1.017340000000000000e+16
8.270829999999999700e+02 1.018620000000000000e+16
8.273150000000000546e+02 1.022460000000000000e+16
8.275480000000000018e+02 1.013440000000000000e+16
8.277809999999999491e+02 1.001790000000000000e+16
8.280130000000000337e+02 1.013480000000000000e+16
8.282460000000000946e+02 1.023800000000000000e+16
8.284780000000000655e+02 1.024440000000000200e+16
8.287110000000000127e+02 1.016240000000000000e+16
8.289429999999999836e+02 1.006250000000000000e+16
8.291760000000000446e+02 1.002000000000000000e+16
8.294080000000000155e+02 1.005110000000000200e+16
8.296409999999999627e+02 1.002330000000000000e+16
8.298729999999999336e+02 9.968970000000000000e+15
8.301059999999999945e+02 9.961410000000000000e+15
8.303379999999999654e+02 1.005430000000000000e+16
8.305709999999999127e+02 1.004810000000000000e+16
8.308029999999999973e+02 9.857720000000000000e+15
8.310359999999999445e+02 9.825140000000000000e+15
8.312680000000000291e+02 9.756470000000000000e+15
8.315010000000000900e+02 9.867520000000000000e+15
8.317329999999999472e+02 1.006480000000000000e+16
8.319660000000000082e+02 1.013360000000000000e+16
8.321979999999999791e+02 1.003920000000000200e+16
8.324310000000000400e+02 9.902040000000000000e+15
8.326630000000000109e+02 9.854280000000000000e+15
8.328950000000000955e+02 9.618110000000000000e+15
8.331279999999999291e+02 9.649750000000000000e+15
8.333600000000000136e+02 9.592480000000000000e+15
8.335930000000000746e+02 9.500570000000000000e+15
8.338250000000000455e+02 9.644410000000000000e+15
8.340579999999999927e+02 9.628920000000000000e+15
8.342899999999999636e+02 9.723180000000000000e+15
8.345219999999999345e+02 9.888720000000002000e+15
8.347549999999999955e+02 9.709650000000000000e+15
8.349870000000000800e+02 9.625270000000000000e+15
8.352199999999999136e+02 9.824450000000000000e+15
8.354519999999999982e+02 9.999980000000000000e+15
8.356839999999999691e+02 1.002100000000000000e+16
8.359170000000000300e+02 9.944520000000000000e+15
8.361490000000000009e+02 9.899950000000000000e+15
8.363819999999999482e+02 9.887260000000000000e+15
8.366139999999999191e+02 9.747110000000000000e+15
8.368460000000000036e+02 9.801990000000000000e+15
8.370790000000000646e+02 1.002290000000000000e+16
8.373110000000000355e+02 9.961060000000000000e+15
8.375430000000000064e+02 9.937180000000000000e+15
8.377759999999999536e+02 9.969620000000002000e+15
8.380079999999999245e+02 9.886420000000000000e+15
8.382400000000000091e+02 9.919650000000000000e+15
